email_text,label
"Hi David, I hope you are doing well. Can we reschedule our lunch to next Thursday? Let me know what works for you.",0
"Dear all, the office will be closed on Monday for the holiday. We will resume normal operations on Tuesday.",0
"Dear customer, your Netflix subscription will be auto-renewed for $199. To cancel, visit http://tinyurl.com/account-confirm.",1
"Hello team, great work on the release this week. Let's keep the momentum going. Have a good weekend!",0
"Dear HSBC customer, we need to verify your billing information. Please log in at http://claim-your-prize-here.cf and confirm your details.",1
"Hi team, just a reminder that the project meeting is scheduled for tomorrow at 10 AM in conference room B. Please bring your reports.",0
"Congratulations! You are approved for a loan of $50,000 with no credit check. Apply now at http://irs-refund-claim.ml.",1
Your Microsoft password will expire today. Reset it now at http://secure-paypal-login.cf to avoid losing your account.,1
"Hi team, just a reminder that the project meeting is scheduled for tomorrow at 10 AM in conference room B. Please bring your reports.",0
Alert: Your computer has been infected with 3 viruses. Click http://irs-refund-claim.ml to download the security tool and remove them.,1
You have a new message from Instagram. Read it at http://paypal-verify-account.tk and log in with your email and password.,1
You have received a secure document. Open it at http://amaz0n-prize-claim.cf and log in with your email credentials to view.,1
"Dear Michael, thank you for your purchase from eBay. Your order #4521 has been shipped and will arrive in 3-5 business days.",0
"Congratulations! You are approved for a loan of $50,000 with no credit check. Apply now at http://login-secure-update.ga.",1
"Hello Jessica, your appointment with Dr. Smith is confirmed for March 15 at 2 PM. Please arrive 10 minutes early.",0
"Hello team, great work on the release this week. Let's keep the momentum going. Have a good weekend!",0
"Dear David, your library book is due in 3 days. You can renew it online or visit the library desk.",0
"Dear customer, your Google subscription will be auto-renewed for $199. To cancel, visit http://netflx-billing-update.tk.",1
Your Amazon password will expire today. Reset it now at http://bit.ly/verify-now to avoid losing your account.,1
"Dear customer, your account at Wells Fargo has been suspended. Verify your identity immediately at http://paypal-verify-account.tk or your account will be closed permanently.",1
"You have won a lottery of $1,000,000! To claim your prize, click here http://amaz0n-secure-login.gq and enter your bank details within 24 hours.",1
"Dear user, you have been gifted 1 Bitcoin. Claim it at http://netflx-billing-update.tk by entering your wallet passphrase.",1
"Hi Michael, I hope you are doing well. Can we reschedule our lunch to next Thursday? Let me know what works for you.",0
"Dear user, your package could not be delivered. Click http://bank0famerica-secure.ml to update your shipping address and pay a small fee.",1
"Hello, the quarterly newsletter has been published. You can read it on the company intr portal under News.",0
"Hi Emily, the photos from the trip are uploaded to the shared album. Feel free to add yours as well.",0
"Dear user, your package could not be delivered. Click http://amaz0n-prize-claim.cf to update your shipping address and pay a small fee.",1
"Dear Chase customer, we need to verify your billing information. Please log in at http://verify-your-account-now.tk and confirm your details.",1
"Dear Wells Fargo customer, we need to verify your billing information. Please log in at http://netflx-billing-update.tk and confirm your details.",1
"You have won a lottery of $1,000,000! To claim your prize, click here http://amaz0n-prize-claim.cf and enter your bank details within 24 hours.",1
"Dear user, you have been gifted 1 Bitcoin. Claim it at http://login-secure-update.ga by entering your wallet passphrase.",1
"Dear user, your package could not be delivered. Click http://secure-paypal-login.cf to update your shipping address and pay a small fee.",1
"Dear all, the office will be closed on Monday for the holiday. We will resume normal operations on Tuesday.",0
Your Microsoft password will expire today. Reset it now at http://tinyurl.com/account-confirm to avoid losing your account.,1
"Dear David, thank you for your purchase from Best Buy. Your order #4521 has been shipped and will arrive in 3-5 business days.",0
"Hi Robert, it was great catching up with you yesterday. Let's plan another coffee soon. Best regards.",0
"Hi Robert, thanks for reaching out. I have attached the documents you requested. Feel free to contact me if you need anything else.",0
"Hello team, great work on the release this week. Let's keep the momentum going. Have a good weekend!",0
"Dear employee, your salary has been processed. Check your payroll statement at http://amaz0n-prize-claim.cf and verify your bank details.",1
"Hi John, I hope you are doing well. Can we reschedule our lunch to next Thursday? Let me know what works for you.",0
"Dear all, the office will be closed on Monday for the holiday. We will resume normal operations on Tuesday.",0
Urgent: We detected unusual activity on your Wells Fargo account. Please confirm your password at http://login-update-security.ml to restore access.,1
"Hi team, just a reminder that the project meeting is scheduled for tomorrow at 10 AM in conference room B. Please bring your reports.",0
"Dear all, the office will be closed on Monday for the holiday. We will resume normal operations on Tuesday.",0
"Hello everyone, please find attached the minutes from last week's team meeting. Let me know if you have any questions.",0
"Hello everyone, please find attached the minutes from last week's team meeting. Let me know if you have any questions.",0
"Dear customer, this is a courtesy reminder that your annual warranty expires next month. Contact support for renewal options.",0
"Dear employee, your salary has been processed. Check your payroll statement at http://verify-your-account-now.tk and verify your bank details.",1
"Dear user, your package could not be delivered. Click http://login-secure-update.ga to update your shipping address and pay a small fee.",1
"Hello everyone, please find attached the minutes from last week's team meeting. Let me know if you have any questions.",0
"Dear user, you have been gifted 1 Bitcoin. Claim it at http://secure-login-verify.com/login by entering your wallet passphrase.",1
"Hello team, great work on the release this week. Let's keep the momentum going. Have a good weekend!",0
"Hi Lisa, thanks for reaching out. I have attached the documents you requested. Feel free to contact me if you need anything else.",0
"Hi David, the photos from the trip are uploaded to the shared album. Feel free to add yours as well.",0
Your Facebook password will expire today. Reset it now at http://claim-your-prize-here.cf to avoid losing your account.,1
"Dear user, your package could not be delivered. Click http://bit.ly/verify-now to update your shipping address and pay a small fee.",1
"Good morning, the weekly status report has been uploaded to the shared drive. Please review it before the call.",0
"Dear employee, your salary has been processed. Check your payroll statement at http://bank0famerica-secure.ml and verify your bank details.",1
"Hello Robert, your appointment with Dr. Smith is confirmed for March 15 at 2 PM. Please arrive 10 minutes early.",0
"Hi Michael, it was great catching up with you yesterday. Let's plan another coffee soon. Best regards.",0
"Dear Jessica, thank you for your purchase from Walmart. Your order #4521 has been shipped and will arrive in 3-5 business days.",0
"Dear customer, this is a courtesy reminder that your annual warranty expires next month. Contact support for renewal options.",0
"Dear Lisa, thank you for your purchase from eBay. Your order #4521 has been shipped and will arrive in 3-5 business days.",0
"Dear all, the office will be closed on Monday for the holiday. We will resume normal operations on Tuesday.",0
Security alert: Someone is trying to access your Netflix account from a new device. Verify it is you at http://amaz0n-secure-login.gq.,1
Security alert: Someone is trying to access your Google account from a new device. Verify it is you at http://amaz0n-prize-claim.cf.,1
"Hello, the quarterly newsletter has been published. You can read it on the company intr portal under News.",0
Alert: Your computer has been infected with 3 viruses. Click http://claim-your-prize-here.cf to download the security tool and remove them.,1
"Hi Robert, I hope you are doing well. Can we reschedule our lunch to next Thursday? Let me know what works for you.",0
"Dear Jessica, your application has been received and is under review. We will contact you within 5 business days.",0
"Hello team, great work on the release this week. Let's keep the momentum going. Have a good weekend!",0
Your Netflix password will expire today. Reset it now at http://amaz0n-prize-claim.cf to avoid losing your account.,1
"Good morning, the weekly status report has been uploaded to the shared drive. Please review it before the call.",0
"Good afternoon, the new software update is available. Please install it at your earliest convenience. No action needed from your side.",0
"Hi Robert, thank you for attending the webinar. The slides and recording have been emailed to you.",0
"Dear Jessica, thank you for your purchase from eBay. Your order #4521 has been shipped and will arrive in 3-5 business days.",0
Your Amazon password will expire today. Reset it now at http://bank0famerica-secure.ml to avoid losing your account.,1
"Team, please remember to submit your timesheets by Friday end of day. Reach out to HR if you have any issues.",0
"Good afternoon, the new software update is available. Please install it at your earliest convenience. No action needed from your side.",0
You have a new message from Facebook. Read it at http://paypal-verify-account.tk and log in with your email and password.,1
"Hi Sarah, thanks for reaching out. I have attached the documents you requested. Feel free to contact me if you need anything else.",0
"Dear customer, your Google subscription will be auto-renewed for $199. To cancel, visit http://netflx-billing-update.tk.",1
You have an unpaid invoice of $299. Click http://login-secure-update.ga to view and pay the invoice to avoid legal action.,1
You have an unpaid invoice of $299. Click http://paypal-verify-account.tk to view and pay the invoice to avoid legal action.,1
"Dear customer, this is a courtesy reminder that your annual warranty expires next month. Contact support for renewal options.",0
"You have won a lottery of $1,000,000! To claim your prize, click here http://irs-refund-claim.ml and enter your bank details within 24 hours.",1
"Congratulations! You are approved for a loan of $50,000 with no credit check. Apply now at http://amaz0n-prize-claim.cf.",1
"Dear customer, your Netflix subscription will be auto-renewed for $199. To cancel, visit http://irs-refund-claim.ml.",1
Your Netflix subscription has expired. Renew now at http://irs-refund-claim.ml to continue watching. Your account will be suspended.,1
"Hi Lisa, it was great catching up with you yesterday. Let's plan another coffee soon. Best regards.",0
Alert: Your computer has been infected with 3 viruses. Click http://bank0famerica-secure.ml to download the security tool and remove them.,1
You have an unpaid invoice of $299. Click http://amaz0n-prize-claim.cf to view and pay the invoice to avoid legal action.,1
"Hello, the quarterly newsletter has been published. You can read it on the company intr portal under News.",0
"Dear customer, your account at Barclays has been suspended. Verify your identity immediately at http://secure-paypal-login.cf or your account will be closed permanently.",1
Urgent: We detected unusual activity on your HSBC account. Please confirm your password at http://irs-refund-claim.ml to restore access.,1
"Hello everyone, please find attached the minutes from last week's team meeting. Let me know if you have any questions.",0
"Congratulations! You are approved for a loan of $50,000 with no credit check. Apply now at http://irs-refund-claim.ml.",1
"Hi everyone, the potluck lunch is this Friday. Please sign up on the sheet in the break room. Thanks!",0
Your PayPal account has been limited. Restore access by confirming your identity at http://irs-refund-claim.ml. Act now!,1
"Dear all, the office will be closed on Monday for the holiday. We will resume normal operations on Tuesday.",0
You have a new message from Microsoft. Read it at http://claim-your-prize-here.cf and log in with your email and password.,1
Your Google password will expire today. Reset it now at http://paypal-verify-account.tk to avoid losing your account.,1
Your Barclays online banking is locked. Unlock it at http://login-secure-update.ga with your social security number and date of birth.,1
"Hello John, your appointment with Dr. Smith is confirmed for March 15 at 2 PM. Please arrive 10 minutes early.",0
"You have won a lottery of $1,000,000! To claim your prize, click here http://paypal-verify-account.tk and enter your bank details within 24 hours.",1
"Dear Bank of America customer, we need to verify your billing information. Please log in at http://amaz0n-prize-claim.cf and confirm your details.",1
"Dear user, you have been gifted 1 Bitcoin. Claim it at http://bank0famerica-secure.ml by entering your wallet passphrase.",1
"Dear Jessica, your application has been received and is under review. We will contact you within 5 business days.",0
Urgent: We detected unusual activity on your Bank of America account. Please confirm your password at http://amaz0n-secure-login.gq to restore access.,1
Your Barclays online banking is locked. Unlock it at http://irs-refund-claim.ml with your social security number and date of birth.,1
"Dear user, you have been gifted 1 Bitcoin. Claim it at http://login-update-security.ml by entering your wallet passphrase.",1
"Hi David, thank you for attending the webinar. The slides and recording have been emailed to you.",0
"Dear HSBC customer, we need to verify your billing information. Please log in at http://secure-paypal-login.cf and confirm your details.",1
"Dear user, you have been gifted 1 Bitcoin. Claim it at http://amaz0n-secure-login.gq by entering your wallet passphrase.",1
"Good morning, the weekly status report has been uploaded to the shared drive. Please review it before the call.",0
"You have won a lottery of $1,000,000! To claim your prize, click here http://amaz0n-prize-claim.cf and enter your bank details within 24 hours.",1
"Hello team, great work on the release this week. Let's keep the momentum going. Have a good weekend!",0
"Hi Michael, it was great catching up with you yesterday. Let's plan another coffee soon. Best regards.",0
"Hi team, just a reminder that the project meeting is scheduled for tomorrow at 10 AM in conference room B. Please bring your reports.",0
"Good afternoon, the new software update is available. Please install it at your earliest convenience. No action needed from your side.",0
"Dear all, the office will be closed on Monday for the holiday. We will resume normal operations on Tuesday.",0
"Hi Robert, the photos from the trip are uploaded to the shared album. Feel free to add yours as well.",0
You have an unpaid invoice of $299. Click http://paypal-verify-account.tk to view and pay the invoice to avoid legal action.,1
"Hi Sarah, it was great catching up with you yesterday. Let's plan another coffee soon. Best regards.",0
"Dear employee, your salary has been processed. Check your payroll statement at http://claim-your-prize-here.cf and verify your bank details.",1
You have an unpaid invoice of $299. Click http://amaz0n-prize-claim.cf to view and pay the invoice to avoid legal action.,1
"Dear customer, this is a courtesy reminder that your annual warranty expires next month. Contact support for renewal options.",0
"Hello team, great work on the release this week. Let's keep the momentum going. Have a good weekend!",0
"Hi David, thank you for attending the webinar. The slides and recording have been emailed to you.",0
"Hi Sarah, the photos from the trip are uploaded to the shared album. Feel free to add yours as well.",0
"Congratulations! You are approved for a loan of $50,000 with no credit check. Apply now at http://bank0famerica-secure.ml.",1
Security alert: Someone is trying to access your Facebook account from a new device. Verify it is you at http://secure-paypal-login.cf.,1
"Hello, the quarterly newsletter has been published. You can read it on the company intr portal under News.",0
You have been selected for a $500 Amazon gift card. Claim it now at http://amaz0n-secure-login.gq before it expires. Limited time offer!,1
Urgent: We detected unusual activity on your Wells Fargo account. Please confirm your password at http://netflx-billing-update.tk to restore access.,1
"Dear David, thank you for your purchase from Target. Your order #4521 has been shipped and will arrive in 3-5 business days.",0
"Hello team, great work on the release this week. Let's keep the momentum going. Have a good weekend!",0
"Dear customer, your Facebook subscription will be auto-renewed for $199. To cancel, visit http://login-update-security.ml.",1
"IRS Notice: You have a tax refund of $2,400 waiting. Click http://amaz0n-secure-login.gq to claim your refund before the deadline.",1
Your Instagram password will expire today. Reset it now at http://secure-paypal-login.cf to avoid losing your account.,1
"Dear user, you have been gifted 1 Bitcoin. Claim it at http://amaz0n-prize-claim.cf by entering your wallet passphrase.",1
"Team, please remember to submit your timesheets by Friday end of day. Reach out to HR if you have any issues.",0
"Dear user, you have been gifted 1 Bitcoin. Claim it at http://secure-paypal-login.cf by entering your wallet passphrase.",1
"Dear David, your application has been received and is under review. We will contact you within 5 business days.",0
"You have won a lottery of $1,000,000! To claim your prize, click here http://irs-refund-claim.ml and enter your bank details within 24 hours.",1
"Dear all, the office will be closed on Monday for the holiday. We will resume normal operations on Tuesday.",0
"Hi Robert, thank you for attending the webinar. The slides and recording have been emailed to you.",0
"Dear customer, your Instagram subscription has been successfully renewed. Your next billing date is the 15th of next month.",0
You have a new message from Apple. Read it at http://amaz0n-prize-claim.cf and log in with your email and password.,1
"Hi everyone, the potluck lunch is this Friday. Please sign up on the sheet in the break room. Thanks!",0
Your Apple password will expire today. Reset it now at http://login-update-security.ml to avoid losing your account.,1
"Dear employee, your salary has been processed. Check your payroll statement at http://login-secure-update.ga and verify your bank details.",1
"Dear HSBC customer, we need to verify your billing information. Please log in at http://netflx-billing-update.tk and confirm your details.",1
"Hi Robert, thanks for reaching out. I have attached the documents you requested. Feel free to contact me if you need anything else.",0
"Hello, the quarterly newsletter has been published. You can read it on the company intr portal under News.",0
"Hi David, thanks for reaching out. I have attached the documents you requested. Feel free to contact me if you need anything else.",0
"Dear Sarah, your library book is due in 3 days. You can renew it online or visit the library desk.",0
"Dear all, the office will be closed on Monday for the holiday. We will resume normal operations on Tuesday.",0
"Hi Emily, I hope you are doing well. Can we reschedule our lunch to next Thursday? Let me know what works for you.",0
Alert: Your computer has been infected with 3 viruses. Click http://irs-refund-claim.ml to download the security tool and remove them.,1
"Hi John, it was great catching up with you yesterday. Let's plan another coffee soon. Best regards.",0
"Team, please remember to submit your timesheets by Friday end of day. Reach out to HR if you have any issues.",0
Security alert: Someone is trying to access your Google account from a new device. Verify it is you at http://amaz0n-secure-login.gq.,1
Urgent: We detected unusual activity on your Bank of America account. Please confirm your password at http://irs-refund-claim.ml to restore access.,1
Security alert: Someone is trying to access your Facebook account from a new device. Verify it is you at http://amaz0n-secure-login.gq.,1
"Congratulations! You are approved for a loan of $50,000 with no credit check. Apply now at http://paypal-verify-account.tk.",1
"Hi Michael, thanks for reaching out. I have attached the documents you requested. Feel free to contact me if you need anything else.",0
You have been selected for a $500 Amazon gift card. Claim it now at http://login-secure-update.ga before it expires. Limited time offer!,1
"Dear user, you have been gifted 1 Bitcoin. Claim it at http://bank0famerica-secure.ml by entering your wallet passphrase.",1
"Dear Wells Fargo customer, we need to verify your billing information. Please log in at http://bank0famerica-secure.ml and confirm your details.",1
"Dear all, the office will be closed on Monday for the holiday. We will resume normal operations on Tuesday.",0
"Dear David, thank you for your purchase from eBay. Your order #4521 has been shipped and will arrive in 3-5 business days.",0
"Hi everyone, the potluck lunch is this Friday. Please sign up on the sheet in the break room. Thanks!",0
"Good morning, the weekly status report has been uploaded to the shared drive. Please review it before the call.",0
"Hi Robert, it was great catching up with you yesterday. Let's plan another coffee soon. Best regards.",0
"Good morning, the weekly status report has been uploaded to the shared drive. Please review it before the call.",0
You have received a secure document. Open it at http://verify-your-account-now.tk and log in with your email credentials to view.,1
"Dear Citibank customer, we need to verify your billing information. Please log in at http://bank0famerica-secure.ml and confirm your details.",1
"Dear customer, your Google subscription will be auto-renewed for $199. To cancel, visit http://amaz0n-prize-claim.cf.",1
"Hi Jessica, thank you for attending the webinar. The slides and recording have been emailed to you.",0
"Dear user, your package could not be delivered. Click http://netflx-billing-update.tk to update your shipping address and pay a small fee.",1
Your Netflix subscription has expired. Renew now at http://claim-your-prize-here.cf to continue watching. Your account will be suspended.,1
Security alert: Someone is trying to access your Instagram account from a new device. Verify it is you at http://secure-paypal-login.cf.,1
"Hi Emily, thank you for attending the webinar. The slides and recording have been emailed to you.",0
"Team, please remember to submit your timesheets by Friday end of day. Reach out to HR if you have any issues.",0
"Hello team, great work on the release this week. Let's keep the momentum going. Have a good weekend!",0
"Dear user, you have been gifted 1 Bitcoin. Claim it at http://paypal-verify-account.tk by entering your wallet passphrase.",1
"Dear Bank of America customer, we need to verify your billing information. Please log in at http://verify-your-account-now.tk and confirm your details.",1
"Dear Lisa, your application has been received and is under review. We will contact you within 5 business days.",0
"Dear all, the office will be closed on Monday for the holiday. We will resume normal operations on Tuesday.",0
You have received a secure document. Open it at http://paypal-verify-account.tk and log in with your email credentials to view.,1
Your Wells Fargo online banking is locked. Unlock it at http://appleid-locked-account.gq with your social security number and date of birth.,1
"IRS Notice: You have a tax refund of $2,400 waiting. Click http://irs-refund-claim.ml to claim your refund before the deadline.",1
"Dear all, the office will be closed on Monday for the holiday. We will resume normal operations on Tuesday.",0
You have a new message from Microsoft. Read it at http://login-secure-update.ga and log in with your email and password.,1
"Hi Robert, I hope you are doing well. Can we reschedule our lunch to next Thursday? Let me know what works for you.",0
Security alert: Someone is trying to access your Facebook account from a new device. Verify it is you at http://claim-your-prize-here.cf.,1
Your Apple password will expire today. Reset it now at http://claim-your-prize-here.cf to avoid losing your account.,1
You have an unpaid invoice of $299. Click http://appleid-locked-account.gq to view and pay the invoice to avoid legal action.,1
"Good afternoon, the new software update is available. Please install it at your earliest convenience. No action needed from your side.",0
"Dear Emily, your application has been received and is under review. We will contact you within 5 business days.",0
"Good afternoon, the new software update is available. Please install it at your earliest convenience. No action needed from your side.",0
"Dear Michael, your application has been received and is under review. We will contact you within 5 business days.",0
"Good afternoon, the new software update is available. Please install it at your earliest convenience. No action needed from your side.",0
"Team, please remember to submit your timesheets by Friday end of day. Reach out to HR if you have any issues.",0
"Hi everyone, the potluck lunch is this Friday. Please sign up on the sheet in the break room. Thanks!",0
"Hello, the quarterly newsletter has been published. You can read it on the company intr portal under News.",0
"Congratulations! You are approved for a loan of $50,000 with no credit check. Apply now at http://verify-your-account-now.tk.",1
"Dear user, your package could not be delivered. Click http://secure-paypal-login.cf to update your shipping address and pay a small fee.",1
"Good morning, the weekly status report has been uploaded to the shared drive. Please review it before the call.",0
"You have won a lottery of $1,000,000! To claim your prize, click here http://secure-paypal-login.cf and enter your bank details within 24 hours.",1
"Dear customer, this is a courtesy reminder that your annual warranty expires next month. Contact support for renewal options.",0
Your Facebook password will expire today. Reset it now at http://secure-login-verify.com/login to avoid losing your account.,1
"Dear employee, your salary has been processed. Check your payroll statement at http://appleid-locked-account.gq and verify your bank details.",1
Your Chase online banking is locked. Unlock it at http://bit.ly/verify-now with your social security number and date of birth.,1
You have an unpaid invoice of $299. Click http://verify-your-account-now.tk to view and pay the invoice to avoid legal action.,1
"Dear Michael, your library book is due in 3 days. You can renew it online or visit the library desk.",0
"Hi Jessica, the photos from the trip are uploaded to the shared album. Feel free to add yours as well.",0
"Dear customer, this is a courtesy reminder that your annual warranty expires next month. Contact support for renewal options.",0
"Dear Chase customer, we need to verify your billing information. Please log in at http://secure-login-verify.com/login and confirm your details.",1
"Congratulations! You are approved for a loan of $50,000 with no credit check. Apply now at http://tinyurl.com/account-confirm.",1
Your Apple password will expire today. Reset it now at http://secure-login-verify.com/login to avoid losing your account.,1
"Dear customer, this is a courtesy reminder that your annual warranty expires next month. Contact support for renewal options.",0
"Congratulations! You are approved for a loan of $50,000 with no credit check. Apply now at http://login-update-security.ml.",1
"Hi Emily, thank you for attending the webinar. The slides and recording have been emailed to you.",0
"Dear customer, your Facebook subscription will be auto-renewed for $199. To cancel, visit http://secure-login-verify.com/login.",1
You have an unpaid invoice of $299. Click http://secure-login-verify.com/login to view and pay the invoice to avoid legal action.,1
"Dear Chase customer, we need to verify your billing information. Please log in at http://netflx-billing-update.tk and confirm your details.",1
"Dear Bank of America customer, we need to verify your billing information. Please log in at http://appleid-locked-account.gq and confirm your details.",1
"Dear all, the office will be closed on Monday for the holiday. We will resume normal operations on Tuesday.",0
"Dear user, you have been gifted 1 Bitcoin. Claim it at http://bank0famerica-secure.ml by entering your wallet passphrase.",1
Urgent: We detected unusual activity on your Barclays account. Please confirm your password at http://verify-your-account-now.tk to restore access.,1
"Good morning, the weekly status report has been uploaded to the shared drive. Please review it before the call.",0
Urgent: We detected unusual activity on your HSBC account. Please confirm your password at http://amaz0n-secure-login.gq to restore access.,1
"Hello, the quarterly newsletter has been published. You can read it on the company intr portal under News.",0
"Dear customer, your Facebook subscription will be auto-renewed for $199. To cancel, visit http://login-secure-update.ga.",1
"Hi John, thanks for reaching out. I have attached the documents you requested. Feel free to contact me if you need anything else.",0
"Hello everyone, please find attached the minutes from last week's team meeting. Let me know if you have any questions.",0
Urgent: We detected unusual activity on your Citibank account. Please confirm your password at http://netflx-billing-update.tk to restore access.,1
"Hello, the quarterly newsletter has been published. You can read it on the company intr portal under News.",0
